ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotSecuringLibraries,"array_test_method_rank_1_jni",,ArrayTestMethodRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ArrayTestMethodRank1.java,ArrayTestMethodRank1.java
CS2,NotSecuringLibraries,"builder_jni",,BuilderTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/BuilderTest.java,BuilderTest.java
CS3,NotSecuringLibraries,"local_object_test_jni",,LocalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/LocalObjectTest.java,LocalObjectTest.java
CS4,NotSecuringLibraries,"array_test_jni",,ArrayTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/ArrayTest.java,ArrayTest.java
CS5,NotSecuringLibraries,"string_test_jni",,StringTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/StringTest.java,StringTest.java
CS6,NotSecuringLibraries,"global_object_test_jni",,GlobalObjectTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/GlobalObjectTest.java,GlobalObjectTest.java
CS7,NotSecuringLibraries,"thread_test_jni",,ThreadTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/ThreadTest.java,ThreadTest.java
CS8,NotSecuringLibraries,"static_test_jni",,StaticTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/StaticTest.java,StaticTest.java
CS9,NotSecuringLibraries,"array_test_field_rank_1_jni",,ArrayTestFieldRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ArrayTestFieldRank1.java,ArrayTestFieldRank1.java
CS10,NotSecuringLibraries,"string_test_jni",,StringTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/StringTest.java,StringTest.java
